product_category_name,used_in_training
agro_industria_e_comercio,True
alimentos,True
alimentos_bebidas,True
artes,True
artes_e_artesanato,True
artigos_de_festas,True
artigos_de_natal,True
audio,True
automotivo,True
bebes,True
bebidas,True
beleza_saude,True
brinquedos,True
cama_mesa_banho,True
casa_conforto,True
casa_conforto_2,True
casa_construcao,True
cds_dvds_musicais,True
cine_foto,True
climatizacao,True
consoles_games,True
construcao_ferramentas_construcao,True
construcao_ferramentas_ferramentas,True
construcao_ferramentas_iluminacao,True
construcao_ferramentas_jardim,True
construcao_ferramentas_seguranca,True
cool_stuff,True
dvds_blu_ray,True
eletrodomesticos,True
eletrodomesticos_2,True
eletronicos,True
eletroportateis,True
esporte_lazer,True
fashion_bolsas_e_acessorios,True
fashion_calcados,True
fashion_esporte,True
fashion_roupa_feminina,True
fashion_roupa_infanto_juvenil,True
fashion_roupa_masculina,True
fashion_underwear_e_moda_praia,True
ferramentas_jardim,True
flores,True
fraldas_higiene,True
industria_comercio_e_negocios,True
informatica_acessorios,True
instrumentos_musicais,True
la_cuisine,True
livros_importados,True
livros_interesse_geral,True
livros_tecnicos,True
malas_acessorios,True
market_place,True
moveis_colchao_e_estofado,True
moveis_cozinha_area_de_servico_jantar_e_jardim,True
moveis_decoracao,True
moveis_escritorio,True
moveis_quarto,True
moveis_sala,True
musica,True
papelaria,True
pcs,True
perfumaria,True
pet_shop,True
portateis_casa_forno_e_cafe,True
relogios_presentes,True
seguros_e_servicos,True
sinalizacao_e_seguranca,True
tablets_impressao_imagem,True
telefonia,True
telefonia_fixa,True
utilidades_domesticas,True
