geolocation_zip_code_prefix,used_in_training
1001,True
1002,True
1003,True
1004,True
1005,True
1006,True
1007,True
1008,True
1009,True
1010,True
1011,True
1012,True
1013,True
1014,True
1015,True
1016,True
1017,True
1018,True
1019,True
1020,True
1021,True
1022,True
1023,True
1024,True
1025,True
1026,True
1027,True
1028,True
1029,True
1030,True
1031,True
1032,True
1033,True
1034,True
1035,True
1036,True
1037,True
1038,True
1039,True
1040,True
1041,True
1042,True
1043,True
1044,True
1045,True
1046,True
1047,True
1048,True
1049,True
1050,True
1101,True
11010,True
11013,True
11015,True
1102,True
11020,True
11025,True
1103,True
11030,True
11031,True
11035,True
1104,True
11040,True
11045,True
1105,True
11050,True
11055,True
1106,True
11060,True
11065,True
1107,True
11070,True
11075,True
1108,True
11080,True
11081,True
11082,True
11085,True
11086,True
11087,True
11088,True
11089,True
1109,True
11090,True
11095,True
1120,True
11200,True
1121,True
1122,True
1123,True
1124,True
1125,True
11250,True
1126,True
1127,True
1128,True
1129,True
1130,True
1131,True
11310,True
1132,True
11320,True
11325,True
1133,True
11330,True
11335,True
1134,True
11340,True
11345,True
11346,True
11347,True
11348,True
11349,True
1135,True
11350,True
11355,True
1136,True
11360,True
11365,True
1137,True
11370,True
11374,True
1138,True
11380,True
1139,True
11390,True
1140,True
1141,True
11410,True
1142,True
11420,True
11421,True
11425,True
11430,True
11431,True
11432,True
11435,True
11436,True
11438,True
1144,True
11440,True
11441,True
11442,True
11443,True
11444,True
11445,True
11446,True
11449,True
11450,True
11451,True
11453,True
11454,True
11460,True
11461,True
11462,True
11463,True
11470,True
11471,True
11472,True
11473,True
11495,True
11497,True
1150,True
11500,True
11505,True
1151,True
11510,True
11515,True
1152,True
11520,True
11523,True
11525,True
1153,True
11530,True
11531,True
11533,True
11534,True
11535,True
11538,True
1154,True
11540,True
11542,True
11543,True
11548,True
1155,True
11550,True
11555,True
1156,True
11570,True
11573,True
11600,True
11601,True
11602,True
11603,True
11604,True
11605,True
11606,True
11608,True
11609,True
11610,True
11611,True
11612,True
11614,True
11615,True
11617,True
11618,True
11619,True
11620,True
11621,True
11622,True
11623,True
11624,True
11625,True
11626,True
11628,True
11629,True
11630,True
11660,True
11661,True
11662,True
11663,True
11664,True
11665,True
11666,True
11667,True
11668,True
11669,True
11670,True
11671,True
11672,True
11673,True
11674,True
11675,True
11676,True
11677,True
11678,True
11679,True
11680,True
11700,True
11701,True
11702,True
11703,True
11704,True
11705,True
11706,True
11707,True
11708,True
11709,True
11710,True
11711,True
11712,True
11713,True
11714,True
11717,True
11718,True
11719,True
11720,True
11721,True
11722,True
11723,True
11724,True
11725,True
11726,True
11730,True
11740,True
11750,True
11760,True
11770,True
11790,True
11800,True
11850,True
1189,True
11900,True
11910,True
11920,True
11925,True
11930,True
11940,True
11950,True
11955,True
11960,True
11990,True
1200,True
1201,True
12010,True
1202,True
12020,True
1203,True
12030,True
12031,True
12032,True
1204,True
12040,True
12041,True
12042,True
12043,True
12045,True
1205,True
12050,True
12051,True
12052,True
12053,True
12054,True
1206,True
12060,True
12061,True
12062,True
1207,True
12070,True
12071,True
12072,True
1208,True
12080,True
12081,True
12082,True
12085,True
12086,True
1209,True
12090,True
12091,True
12092,True
12093,True
12095,True
1210,True
1211,True
1212,True
12120,True
1213,True
12130,True
1214,True
12140,True
1215,True
12150,True
1216,True
1217,True
12170,True
1218,True
12180,True
1219,True
1220,True
12209,True
1221,True
12210,True
12211,True
12212,True
12213,True
12214,True
12215,True
12216,True
1222,True
12220,True
12221,True
12223,True
12224,True
12225,True
12226,True
12227,True
12228,True
12229,True
1223,True
12230,True
12231,True
12232,True
12233,True
12234,True
12235,True
12236,True
12237,True
12238,True
12239,True
1224,True
12240,True
12241,True
12242,True
12243,True
12244,True
12245,True
12246,True
12247,True
12248,True
12249,True
1225,True
12250,True
1226,True
12260,True
1227,True
12270,True
1228,True
12280,True
12281,True
12282,True
12283,True
12284,True
12285,True
12286,True
12287,True
12288,True
12289,True
1229,True
12290,True
12294,True
12295,True
12297,True
1230,True
12301,True
12302,True
12305,True
12306,True
12307,True
12308,True
12309,True
1231,True
12310,True
12311,True
12312,True
12315,True
12316,True
12318,True
12319,True
1232,True
12320,True
12321,True
12322,True
12323,True
12324,True
12325,True
12326,True
12327,True
12328,True
12329,True
1233,True
12330,True
12331,True
12333,True
12334,True
12335,True
1234,True
12340,True
12341,True
1235,True
12350,True
1236,True
1237,True
1238,True
12380,True
1239,True
1240,True
12400,True
12401,True
12402,True
12403,True
12404,True
12405,True
1241,True
12410,True
12411,True
12412,True
12413,True
12414,True
12415,True
1242,True
12420,True
12421,True
12422,True
12423,True
12424,True
12425,True
12426,True
1243,True
1244,True
12440,True
12441,True
12442,True
12443,True
12444,True
12445,True
12446,True
1245,True
12450,True
1246,True
12460,True
1247,True
1248,True
1249,True
12490,True
1250,True
12500,True
12501,True
12502,True
12503,True
12504,True
12505,True
12506,True
12507,True
12508,True
12509,True
1251,True
12510,True
12511,True
12512,True
12513,True
12514,True
12515,True
12516,True
12517,True
12518,True
12519,True
1252,True
12520,True
12521,True
12522,True
12523,True
12524,True
12525,True
1253,True
12530,True
1254,True
12540,True
1255,True
1256,True
1257,True
12570,True
1258,True
12580,True
1259,True
12600,True
12601,True
12602,True
12603,True
12604,True
12605,True
12606,True
12607,True
12608,True
12609,True
12610,True
12611,True
12615,True
1262,True
12620,True
12630,True
12690,True
12701,True
12702,True
12703,True
12704,True
12705,True
12710,True
12711,True
12712,True
12720,True
12721,True
12722,True
12723,True
12730,True
12760,True
12800,True
12820,True
12830,True
12850,True
12870,True
1290,True
12900,True
12902,True
12903,True
12904,True
12906,True
12908,True
12910,True
12912,True
12913,True
12914,True
12916,True
12917,True
12918,True
12919,True
12922,True
12924,True
12926,True
12927,True
12929,True
12930,True
12935,True
12940,True
12941,True
12942,True
12943,True
12944,True
12945,True
12946,True
12947,True
12948,True
12949,True
12950,True
12951,True
12952,True
12953,True
12954,True
12955,True
12960,True
12970,True
12980,True
12990,True
12995,True
1301,True
13010,True
13012,True
13013,True
13015,True
1302,True
13020,True
13023,True
13024,True
13025,True
13026,True
1303,True
13030,True
13031,True
13032,True
13033,True
13034,True
13035,True
13036,True
1304,True
13040,True
13041,True
13042,True
13043,True
13044,True
13045,True
13046,True
13049,True
1305,True
13050,True
13051,True
13052,True
13053,True
13054,True
13055,True
13056,True
13057,True
13058,True
13059,True
1306,True
13060,True
13061,True
13063,True
13064,True
13065,True
13067,True
13068,True
13069,True
1307,True
13070,True
13073,True
13075,True
13076,True
13077,True
1308,True
13080,True
13081,True
13082,True
13083,True
13084,True
13085,True
13086,True
13087,True
13088,True
1309,True
13090,True
13091,True
13092,True
13096,True
13097,True
13098,True
13099,True
1310,True
13100,True
13101,True
13104,True
13105,True
13106,True
13107,True
13108,True
1311,True
1312,True
1313,True
1314,True
13140,True
13141,True
13142,True
13144,True
13145,True
13146,True
13147,True
13148,True
1315,True
13150,True
13152,True
13154,True
13155,True
13157,True
1316,True
13160,True
13165,True
1317,True
13170,True
13171,True
13172,True
13173,True
13174,True
13175,True
13176,True
13177,True
13178,True
13179,True
1318,True
13180,True
13181,True
13183,True
13184,True
13185,True
13186,True
13187,True
13188,True
13189,True
1319,True
13190,True
1320,True
13201,True
13202,True
13203,True
13205,True
13206,True
13207,True
13208,True
13209,True
1321,True
13210,True
13211,True
13212,True
13213,True
13214,True
13215,True
13216,True
13218,True
13219,True
1322,True
13220,True
13221,True
13222,True
13223,True
13224,True
13225,True
13226,True
1323,True
13230,True
13231,True
13232,True
13233,True
13234,True
13236,True
13238,True
1324,True
13240,True
1325,True
13250,True
13251,True
13252,True
13253,True
13254,True
13255,True
13256,True
13257,True
1326,True
13260,True
1327,True
13270,True
13271,True
13272,True
13273,True
13274,True
13275,True
13276,True
13277,True
13278,True
13279,True
1328,True
13280,True
13281,True
13282,True
13283,True
13284,True
13285,True
13286,True
13287,True
13288,True
13289,True
1329,True
13290,True
13295,True
1330,True
13300,True
13301,True
13302,True
13304,True
13305,True
13306,True
13308,True
13309,True
1331,True
13310,True
13311,True
13312,True
13313,True
13315,True
13318,True
13319,True
1332,True
13320,True
13321,True
13322,True
13323,True
13324,True
13326,True
13327,True
13328,True
13329,True
1333,True
13330,True
13331,True
13332,True
13333,True
13334,True
13335,True
13336,True
13337,True
13338,True
13339,True
13340,True
13341,True
13342,True
13343,True
13344,True
13345,True
13346,True
13347,True
13348,True
13349,True
13350,True
13355,True
13360,True
13370,True
13375,True
13380,True
13381,True
13382,True
13385,True
13386,True
13387,True
13388,True
13389,True
13390,True
13400,True
13401,True
13402,True
13403,True
13405,True
13406,True
13408,True
13409,True
13411,True
13412,True
13413,True
13414,True
13415,True
13416,True
13417,True
13418,True
13419,True
13420,True
13421,True
13422,True
13423,True
13424,True
13425,True
13426,True
13427,True
13428,True
13432,True
13433,True
13440,True
13450,True
13451,True
13452,True
13453,True
13454,True
13455,True
13456,True
13457,True
13458,True
13459,True
13460,True
13465,True
13466,True
13467,True
13468,True
13469,True
13470,True
13471,True
13472,True
13473,True
13474,True
13475,True
13476,True
13477,True
13478,True
13479,True
13480,True
13481,True
13482,True
13483,True
13484,True
13485,True
13486,True
13487,True
13490,True
13495,True
13500,True
13501,True
13502,True
13503,True
13504,True
13505,True
13506,True
13507,True
13508,True
13509,True
13510,True
13515,True
13520,True
13525,True
13530,True
13537,True
13540,True
13550,True
13560,True
13561,True
13562,True
13563,True
13564,True
13565,True
13566,True
13567,True
13568,True
13569,True
13570,True
13571,True
13572,True
13573,True
13574,True
13575,True
13578,True
13579,True
13580,True
13590,True
13600,True
13601,True
13602,True
13603,True
13604,True
13605,True
13606,True
13607,True
13608,True
13609,True
13610,True
13611,True
13612,True
13613,True
13614,True
13615,True
13616,True
13617,True
13625,True
13630,True
13631,True
13632,True
13633,True
13634,True
13635,True
13636,True
13638,True
13640,True
13641,True
13643,True
13650,True
13660,True
13670,True
13690,True
13700,True
13705,True
13707,True
13710,True
13715,True
13720,True
13730,True
13731,True
13732,True
13733,True
13734,True
13735,True
13736,True
13737,True
13738,True
13739,True
13750,True
13755,True
13760,True
13770,True
13780,True
13790,True
13800,True
13801,True
13802,True
13803,True
13804,True
13805,True
13806,True
13807,True
13808,True
13817,True
13820,True
13822,True
13825,True
13830,True
13835,True
13840,True
13841,True
13842,True
13843,True
13844,True
13845,True
13846,True
13847,True
13848,True
13849,True
13855,True
13857,True
13860,True
13870,True
13871,True
13872,True
13873,True
13874,True
13875,True
13876,True
13877,True
13879,True
13880,True
13890,True
13895,True
13900,True
13901,True
13902,True
13903,True
13904,True
13905,True
13908,True
13909,True
13910,True
13911,True
13912,True
13913,True
13914,True
13915,True
13916,True
13917,True
13918,True
13919,True
13920,True
13930,True
13940,True
13950,True
13960,True
13970,True
13971,True
13972,True
13973,True
13974,True
13975,True
13976,True
13977,True
13986,True
13988,True
13990,True
13995,True
14001,True
1401,True
14010,True
14015,True
1402,True
14020,True
14021,True
14022,True
14024,True
14025,True
14026,True
14027,True
1403,True
14030,True
14031,True
14032,True
14033,True
1404,True
14040,True
1405,True
14050,True
14051,True
14055,True
14056,True
14057,True
1406,True
14060,True
14061,True
14062,True
14065,True
14066,True
1407,True
14070,True
14071,True
14072,True
14073,True
14075,True
14076,True
14077,True
14078,True
14079,True
1408,True
14080,True
14085,True
1409,True
14090,True
14091,True
14092,True
14093,True
14094,True
14095,True
14096,True
14097,True
14098,True
1410,True
1411,True
14110,True
14115,True
1412,True
14120,True
1413,True
1414,True
14140,True
14141,True
1415,True
14150,True
14151,True
1416,True
14160,True
14161,True
14164,True
14165,True
14166,True
14169,True
1417,True
14170,True
14171,True
14173,True
14175,True
14176,True
14177,True
14178,True
14179,True
1418,True
14180,True
14185,True
1419,True
1420,True
14200,True
1421,True
14210,True
1422,True
14220,True
1423,True
14230,True
1424,True
14240,True
1425,True
14250,True
1426,True
14260,True
1427,True
14270,True
1428,True
1429,True
1430,True
14300,True
14305,True
14307,True
1431,True
14312,True
14315,True
1432,True
1433,True
1434,True
14340,True
1435,True
14350,True
1436,True
1437,True
1438,True
1439,True
14390,True
1440,True
14400,True
14401,True
14402,True
14403,True
14404,True
14405,True
14406,True
14407,True
14408,True
14409,True
1441,True
14410,True
14412,True
14415,True
1442,True
14420,True
1443,True
14430,True
1444,True
14440,True
14445,True
1445,True
14450,True
1446,True
14460,True
1447,True
14470,True
1448,True
1449,True
14490,True
1450,True
14500,True
14505,True
1451,True
1452,True
1453,True
14530,True
1454,True
14540,True
1455,True
14550,True
1456,True
1457,True
14570,True
14580,True
14590,True
14600,True
14610,True
14620,True
14640,True
14660,True
14670,True
14680,True
14690,True
14700,True
14701,True
14702,True
14704,True
14706,True
14707,True
14708,True
14709,True
14710,True
14711,True
14713,True
14715,True
14716,True
14718,True
1472,True
14720,True
14725,True
14730,True
14733,True
14735,True
14740,True
14745,True
14750,True
14760,True
14765,True
14770,True
14775,True
14780,True
14781,True
14783,True
14784,True
14785,True
14786,True
14787,True
14789,True
14790,True
14795,True
14800,True
14801,True
14802,True
14803,True
14804,True
14805,True
14806,True
14807,True
14808,True
14809,True
14810,True
14811,True
14813,True
14815,True
14820,True
14825,True
14830,True
14835,True
14840,True
14850,True
14860,True
14870,True
14871,True
14875,True
14876,True
14882,True
14883,True
14884,True
14887,True
1489,True
14890,True
14892,True
14896,True
14900,True
14904,True
14907,True
14910,True
14915,True
14920,True
14930,True
14935,True
14940,True
14955,True
14960,True
14980,True
14990,True
1501,True
15010,True
15013,True
15014,True
15015,True
1502,True
15020,True
15025,True
1503,True
15030,True
15035,True
15038,True
1504,True
15040,True
15041,True
15042,True
15043,True
15044,True
15045,True
15046,True
15047,True
15048,True
1505,True
15050,True
15051,True
15052,True
15053,True
15054,True
15055,True
15056,True
15057,True
1506,True
15060,True
15061,True
15062,True
15063,True
15064,True
1507,True
15070,True
15075,True
15076,True
15077,True
1508,True
15080,True
15081,True
15082,True
15084,True
15085,True
15086,True
1509,True
15090,True
15091,True
15092,True
15093,True
1510,True
15102,True
15104,True
15105,True
15108,True
1511,True
15110,True
15115,True
1512,True
15120,True
1513,True
15130,True
15131,True
15132,True
15133,True
15135,True
15137,True
15138,True
1514,True
15140,True
15145,True
15150,True
15154,True
15155,True
1516,True
15160,True
1517,True
15170,True
1518,True
15180,True
1519,True
15190,True
15195,True
1520,True
15200,True
1521,True
15210,True
15215,True
1522,True
15220,True
15225,True
1523,True
15230,True
1524,True
15240,True
1525,True
15250,True
1526,True
15260,True
15265,True
1527,True
15270,True
15275,True
1528,True
15280,True
15285,True
1529,True
15290,True
1530,True
15300,True
1531,True
15310,True
15313,True
15315,True
1532,True
15320,True
1533,True
15330,True
1534,True
15340,True
1535,True
15350,True
15355,True
1536,True
15360,True
15367,True
1537,True
15370,True
1538,True
15380,True
15385,True
1539,True
15390,True
15397,True
1540,True
15400,True
15405,True
1541,True
15410,True
15417,True
1542,True
15420,True
15425,True
1543,True
15430,True
1544,True
15440,True
1545,True
15450,True
1546,True
15460,True
1547,True
15470,True
1548,True
15480,True
1549,True
15490,True
15495,True
1550,True
15500,True
15501,True
15502,True
15503,True
15504,True
15505,True
15506,True
15507,True
1551,True
15515,True
1552,True
15520,True
15525,True
1553,True
15530,True
15540,True
15545,True
15550,True
15560,True
15570,True
15580,True
15600,True
15601,True
15603,True
15604,True
15607,True
15608,True
15610,True
15612,True
15617,True
15620,True
15625,True
15630,True
15640,True
15650,True
15670,True
15680,True
15685,True
15690,True
15700,True
15703,True
15704,True
15706,True
15707,True
15708,True
15710,True
15713,True
15715,True
15718,True
15720,True
15730,True
15735,True
15740,True
15745,True
15748,True
15750,True
15755,True
15760,True
15763,True
15765,True
15768,True
15770,True
15773,True
15775,True
15780,True
15785,True
15790,True
15800,True
15801,True
15802,True
15803,True
15804,True
15805,True
15806,True
15807,True
15808,True
15809,True
15810,True
15811,True
15812,True
15813,True
15816,True
15820,True
15823,True
15825,True
15828,True
15830,True
15835,True
15840,True
15845,True
15850,True
15855,True
15860,True
15868,True
15870,True
15880,True
15885,True
15890,True
15895,True
15900,True
15903,True
15905,True
15910,True
15915,True
